2021/07/05 10:03:55 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 0 
2021/07/05 10:03:55 D:/Go Code/sushi/src/main.go:75: cook 3 makes a new sushi,	 total is 0 
2021/07/05 10:03:55 D:/Go Code/sushi/src/main.go:97: customer 2 has eated a sushi,left:0
2021/07/05 10:03:55 D:/Go Code/sushi/src/main.go:97: customer 3 has eated a sushi,left:0
2021/07/05 10:03:55 D:/Go Code/sushi/src/main.go:97: customer 1 has eated a sushi,left:0
2021/07/05 10:03:55 D:/Go Code/sushi/src/main.go:75: cook 2 makes a new sushi,	 total is 0 
2021/07/05 10:03:56 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 0 
2021/07/05 10:03:56 D:/Go Code/sushi/src/main.go:97: customer 5 has eated a sushi,left:0
2021/07/05 10:03:56 D:/Go Code/sushi/src/main.go:97: customer 4 has eated a sushi,left:0
2021/07/05 10:03:56 D:/Go Code/sushi/src/main.go:75: cook 2 makes a new sushi,	 total is 0 
2021/07/05 10:03:57 D:/Go Code/sushi/src/main.go:75: cook 3 makes a new sushi,	 total is 1 
2021/07/05 10:03:57 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 2 
2021/07/05 10:03:57 D:/Go Code/sushi/src/main.go:97: customer 3 has eated a sushi,left:1
2021/07/05 10:03:57 D:/Go Code/sushi/src/main.go:97: customer 1 has eated a sushi,left:0
2021/07/05 10:03:57 D:/Go Code/sushi/src/main.go:75: cook 2 makes a new sushi,	 total is 1 
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 2 
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:97: customer 5 has eated a sushi,left:1
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:75: cook 3 makes a new sushi,	 total is 2 
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:97: customer 4 has eated a sushi,left:1
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 2 
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:97: customer 2 has eated a sushi,left:1
2021/07/05 10:03:58 D:/Go Code/sushi/src/main.go:75: cook 2 makes a new sushi,	 total is 2 
2021/07/05 10:03:59 D:/Go Code/sushi/src/main.go:97: customer 3 has eated a sushi,left:1
2021/07/05 10:03:59 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 2 
2021/07/05 10:03:59 D:/Go Code/sushi/src/main.go:97: customer 1 has eated a sushi,left:1
2021/07/05 10:03:59 D:/Go Code/sushi/src/main.go:97: customer 5 has eated a sushi,left:0
2021/07/05 10:03:59 D:/Go Code/sushi/src/main.go:75: cook 3 makes a new sushi,	 total is 1 
2021/07/05 10:03:59 D:/Go Code/sushi/src/main.go:75: cook 2 makes a new sushi,	 total is 2 
2021/07/05 10:04:00 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 3 
2021/07/05 10:04:00 D:/Go Code/sushi/src/main.go:97: customer 4 has eated a sushi,left:2
2021/07/05 10:04:00 D:/Go Code/sushi/src/main.go:97: customer 3 has eated a sushi,left:1
2021/07/05 10:04:00 D:/Go Code/sushi/src/main.go:75: cook 1 makes a new sushi,	 total is 2 
2021/07/05 10:04:00 D:/Go Code/sushi/src/main.go:75: cook 2 makes a new sushi,	 total is 3 
2021/07/05 10:04:01 D:/Go Code/sushi/src/main.go:75: cook 3 makes a new sushi,	 total is 4 
2021/07/05 10:04:01 D:/Go Code/sushi/src/main.go:97: customer 5 has eated a sushi,left:3
